from,to,,,,,,
Pesticides,4-Nitro-3-cresol,,,,,,
Pesticides,Acetamiprid,,,,,,
Pesticides,Boscalid,,,,,,
Pesticides,Bromacil,,,,,,
Pesticides,CCIM,,,,,,
Pesticides,Chlorbenzuron,,,,,,
Pesticides,Chlorferone,,,,,,
Pesticides,Chlorothalonil,,,,,,
Pesticides,Crufomate,,,,,,
Pesticides,Cycluron,,,,,,
Pesticides,Dazomet,,,,,,
Pesticides,Difenoconazole,,,,,,
Pesticides,Dimefuron,,,,,,
Pesticides,Diphenamid,,,,,,
Pesticides,Fensulfothion-Sulfone,,,,,,
Pesticides,Fipronil,,,,,,
Pesticides,Fipronil Desulfinyl,,,,,,
Pesticides,Fipronil sulfone,,,,,,
Pesticides,Fipronil-sulfide,,,,,,
Pesticides,Fluazuron,,,,,,
Pesticides,Flufenoxuron,,,,,,
Pesticides,Fluopyram,,,,,,
Pesticides,Fluxapyroxad,,,,,,
Pesticides,Halosulfuron-methyl,,,,,,
Pesticides,Isocarbophos,,,,,,
Pesticides,Isofenphos oxon,,,,,,
Pesticides,Isonoruron,,,,,,
Pesticides,Isopyrazam,,,,,,
Pesticides,Isoxaflutole,,,,,,
Pesticides,Lufenuron,,,,,,
Pesticides,Matrine,,,,,,
Pesticides,Mecoprop,,,,,,
Pesticides,Mesulfenfos,,,,,,
Pesticides,Mevinphos,,,,,,
Pesticides,Myclobutanil,,,,,,
Pesticides,Paclobutrazol,,,,,,
Pesticides,Prochloraz desimidazole-formylamino,,,,,,
Pesticides,Prochloraz-desimidazole-amino,,,,,,
Pesticides,Pyraclostrobin,,,,,,
Pesticides,Quinoxyfen,,,,,,
Pesticides,Rabenzazole,,,,,,
Pesticides,Resmethrin,,,,,,
Pesticides,Sethoxydim,,,,,,
Pesticides,Siduron,,,,,,
Pesticides,Simeconazole,,,,,,
Pesticides,Spirotetramat-enol,,,,,,
Pesticides,Sulfoxaflor,,,,,,
Pesticides,Tebuconazole,,,,,,
Pesticides,Tebufenozide,,,,,,
Pesticides,Terbucarb,,,,,,
Pesticides,Thiacloprid,,,,,,
Pesticides,Thiobencarb,,,,,,
Pesticides,Trioxone,,,,,,
Drugs,17-OHP,,,,,,
Drugs,17-OHPC,,,,,,
Drugs,Amlodipine besylate,,,,,,
Drugs,Androstenedione,,,,,,
Drugs,Azithromycin,,,,,,
Drugs,Betaxolol,,,,,,
Drugs,Brombuterol,,,,,,
Drugs,Butylparaben,,,,,,
Drugs,Carbamazepine,,,,,,
Drugs,Cetirizine,,,,,,
Drugs,Chlorpheniramine,,,,,,
Drugs,Cyclamic acid,,,,,,
Drugs,Desloratadine,,,,,,
Drugs,Diclofenac Acid,,,,,,
Drugs,Diphenhydramine,,,,,,
Drugs,Erythromycin,,,,,,
Drugs,Estrone,,,,,,
Drugs,Flunixin,,,,,,
Drugs,Ganciclovir,,,,,,
Drugs,Genistein,,,,,,
Drugs,Glyburide,,,,,,
Drugs,Hexestrol ,,,,,,
Drugs,Irbesartan,,,,,,
Drugs,Isobutylparaben,,,,,,
Drugs,Ketorolac,,,,,,
Drugs,Loratadine,,,,,,
Drugs,Mebendazole-amine,,,,,,
Drugs,Metformin,,,,,,
Drugs,Methicillin,,,,,,
Drugs,Moxifloxacin,,,,,,
Drugs,Nicarbazin,,,,,,
Drugs,Nicotine,,,,,,
Drugs,Nifedipine,,,,,,
Drugs,Nitrendipine,,,,,,
Drugs,Norfloxacin,,,,,,
Drugs,Noscapine,,,,,,
Drugs,Phenylbutazone,,,,,,
Drugs,Pioglitazone,,,,,,
Drugs,Prednisolone,,,,,,
Drugs,Progesterone,,,,,,
Drugs,Promethazine,,,,,,
Drugs,Quinocetone,,,,,,
Drugs,Roxithromycin,,,,,,
Drugs,Salmeterol,,,,,,
Drugs,Sulfanitran,,,,,,
Drugs,Sulfoaildenafil,,,,,,
Drugs,Tadalafil,,,,,,
Drugs,Testosterone,,,,,,
Drugs,Tolbutamide,,,,,,
Drugs,Trimethoprim,,,,,,
Pollutants,5-Oxo-MEHP,,,,,,
Pollutants,6:2 diPAP,,,,,,
Pollutants,9Cl-PF3ONS,,,,,,
Pollutants,Avobenzone,,,,,,
Pollutants,BADP,,,,,,
Pollutants,BHT alcohol,,,,,,
Pollutants,Bis(2-butoxyethyl) phthalate,,,,,,
Pollutants,DETX,,,,,,
Pollutants,Diethyltoluamide,,,,,,
Pollutants,Dinoseb,,,,,,
Pollutants,DNOC,,,,,,
Pollutants,Michler's ethyl ketone,,,,,,
Pollutants,Monoethyl phthalate,,,,,,
Pollutants,PFDA,,,,,,
Pollutants,PFDoA,,,,,,
Pollutants,PFHpA,,,,,,
Pollutants,PFHps,,,,,,
Pollutants,PFHxS,,,,,,
Pollutants,PFNA,,,,,,
Pollutants,PFOA,,,,,,
Pollutants,PFOS,,,,,,
Pollutants,PFTrDA,,,,,,
Pollutants,PFUdA,,,,,,
Pollutants,RhodamineB,,,,,,
Pollutants,Sulisobenzone,,,,,,
Pollutants,tBPDP,,,,,,
Exposome,Pesticides,,,,,,
Exposome,Drugs,,,,,,
Exposome,Pollutants,,,,,,
